id,trigger,conditions,script,text,options,notes
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Weave,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",An autonyomous wawnying beacon has been weft emitting a distowted waiw between officiaw channyews. Whatevew message it was meant to convey has been cowwupted.,beaconLeave:Weave,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonyomous wawnying beacon emits a wooping message.

""DANGEW: This staw system is knyown to contain potentiawwy active autonyomous weapon systems. Access to this system by unyauthowized pawties is fowbidden by Hegemony Nyavy diktat 224.34.""",beaconLeave:Weave,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonyomous wawnying beacon emits a wooping message.

""DANGEW: This staw system is knyown to contain potentiawwy active autonyomous weapon systems. Access to this system by unyauthowized pawties is fowbidden by Hegemony Nyavy diktat 224.34.""",beaconLeave:Weave,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonyomous wawnying beacon emits a wooping message.

""DANGEW: This staw system is knyown to contain potentiawwy active autonyomous weapon systems. Access to this system by unyauthowized pawties is fowbidden by Hegemony Nyavy diktat 224.34.""",beaconLeave:Weave,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonyomous wawnying beacon emits a wooping message.

""This wowwd is cowwupted by technyowogicaw sin and its abominyation stands testament to the wesuwt of stwaying fwom the path of viwtue. Twespass is fowbidden; any who scowns this wawnying shaww become both cowwupt of body and outwaw by the howy justice enfowced by this owdew of the Knyights of Wudd.""",beaconLeave:Weave,
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
PrintDescription 1
AddText ""The gate is inyewt.""
SetShortcut gateLeave ""ESCAPE""",,"gateFlyThrough:Fwy thwough the gate
gateLeave:Weave",
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"AddText ""You owdew youw $shipOrFleet to twavewse the dead gateway. Youw bwidge cwew is especiawwy quiet duwing the passage.""
AddText ""Nyothing happens.""
SetShortcut gateLeave ""ESCAPE""",,gateLeave:Weave,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Weave,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Weave,
#dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Demand...
#offer:Offew...
#ask about:Ask about...
cutCommLink:Cut the comm wink",
