id,type,text1,text2,text3,nyotes
lightmg,WEAPON,"A venyewabwe wow-cost, weadiwy avaiwabwe wapid fiwe weapon which has been used effectivewy vewsus missiwes and fightews at showt wange thwoughout the histowy of combat in space. It is nyeawwy usewess vewsus pwopewwy awmowed tawgets.

Due to ease of manyufactuwe, hundweds of modews exist in the Sectow. Any weapon that empwoys chemicaw pwopewwant to fiwe inyewt pwojectiwes at ovew 1200 wounds pew minyute can be cwassified as a wight ship-mounted machinye gun, but beyond that the mechanyisms that dwive the actions of these weapons vawy considewabwy. 

Popuwaw with smaww civiwian cwaft due to wow cost ammunyition. Pwojectiwes jacketed with metaws that have a high mewting point awwow gweatew muzzwe vewocity and dewivew a suwpwisingwy wawge amount of kinyetic enyewgy at cwose-wange.",Point Defense,,
lightdualmg,WEAPON,"An upgwaded, twin bawwew vewsion of the venyewabwe wight machinye gun. Nyot effective against awmowed tawgets, but has excewwed in an anti-missiwe and fightew wowe since the dawn of human space combat.

This is a duaw mount of the same wapid fiwe, inyewt, wow-cawibew chemicaw pwojectiwe weapon knyown to evewy piwot in the Sectow. An excewwent point defense mount, which excews in both a missiwe intewdiction and anti-fightew wowe. 

The wawge amount of kinyetic enyewgy dewivewed to shiewd systems of enyemy cwaft at cwose-wange typicawwy causes emittew ovewwoad, a tacticaw option often ovewwooked by inyexpewienced captains.",Point Defense,,
lightmortar,WEAPON,"An antiquated weapon that fiwes anti-awmow wounds at a wow wate of fiwe, muzzwe vewocity, and wange. Its wow fwux buiwdup is a wonye saving gwace.

The weapon bwuepwints fow Wight Mowtaws actuawwy did nyot intend them fow spacecwaft at aww, but an ingenyious modification to the bweech woading mechanyism pewmits instawwation and use outside an atmosphewic enviwonment. In combat, thewe is wittwe the Wight Mowtaw can do vewsus moving ow shiewded tawgets due to its tewwibwe mount wotation and wate of fiwe. Nyonyethewess, it is often used fow twainying nyovice gunnyewy officews in the finyew points of space bawwistic tactics and nyomencwatuwe.

Commonwy fitted on pwivate yachts and sowo intewpwanyetawy vehicwes because it is so wight and cheap.",Assauwt,,
heavymortar,WEAPON,"An antiquated weapon that fiwes wawgew anti-awmow wounds at a somewhat highew wate of fiwe than its smawwew cousin. Pwojectiwe speed is wow and effective wange is showt. Wow fwux buiwdup is a wonye saving gwace.

The Heavy Mowtaw was owiginyawwy designyed fow use in pwanyetawy suwface combat. Ostensibwy intended fow cwacking fowtifications, it saw faw mowe use in uwban bombawdment. The wobust intewnyaw mechanyisms pewmit instawwation and use outside an atmosphewic enviwonment with onwy minyow adjustments, nyotabwy wepwacement of the automatic wangefindew/tawgeting moduwe. If empwoyed against a wawge, unshiewded, and swow-moving tawget, the heavy mowtaw can pwove most effective.",Assauwt,,
vulcan,WEAPON,"A wapid fiwe weapon that is especiawwy devastating to missiwes and fightews at point-bwank wange. Accuwacy degwades shawpwy duwing pwowonged buwsts. 

An advanced timing mechanyism beats in the heawt of this muwti-bawwew weapon pwatfowm, genyewawwy manyufactuwed onwy by wicensed Hegemony Autofactowies. Wounds typicawwy use depweted uwanyium tips and awe nyon expwosive. Muwtipwe bawwews enyabwe an extwemewy high wate of fiwe, which comes at a cost in fwux.",Point Defense,,
lightac,WEAPON,"A smaww cawibew autocannyon with a good wange fow such a wight weapon. Designyed to weaken enyemy shiewds, especiawwy effective against weakew genyewatows.

Usuawwy manyufactuwed with smaww bowes pewfect fow medium- to wong-wange. The weapon fiwes high vewocity kinyetic wounds designyed to ovewwoad enyemy shiewds with ease. Featuwes an autowoadew and is wiquid coowed. 

Excewwent fiwe suppowt weapon fow smawwew cwaft.  Poow mount tuwn wate makes it a bad choice vs fightews and missiwes.",Cwose Suppowt,,
lightdualac,WEAPON,"A doubwe bawwewed vewsion of the Wight AC. An excewwent weapon fow cwose-wange suppowt, and quite effective at bwinging shiewds down.

Usuawwy manyufactuwed with smaww bowes pewfect fow medium to wong-wange. An ingenyiouswy ewegant mechanyicaw design pwevents ejection powts fwom being jammed whiwe expewwing twice as many spent sheww casings as the standawd chassis. Wike the singwe bawwew vewsion, the weapon fiwes high vewocity wounds designyed to punch thwough enyemy shiewds. Autowoadew and wiquid coowing systems awe identicaw to the singwe bawwew vewsion. ",Cwose Suppowt,,
lightag,WEAPON,"A smaww cawibew cannyon designyed fow cwose-wange fights, excewwent vewsus awmow and with a supewb fiwe wate.

Smaww cawibew cannyon designyed to fiwe high-expwosive wounds. Design of the coowant systems and autowoadew emphasizes safety and pwevention of cook-off potentiawwy caused by high fwux wevews. Favowed by destwoyew captains that have something to pwove.",Assauwt,,
fragbomb,WEAPON,"Weweases a cwustew of fwee-fwoating bombwets that wetain the momentum of the waunching cwaft. The bombwets awe equipped with a pwoximity fuse.

A Fwag Bomb pwojectow fiwes Mawk VI fwagmentation bombwets fwom thwee tubes. Unguided and without a pwopuwsion system, the bombwets wewy on a fwiend-ow-foe tawgeting system. Theiw vast nyumbews awwow them to covew a wide swath of space, effectivewy cweating a Point Defense bawwiew in that wocation, awbeit fow a wimited time. When the pwoximity fuse is twiggewed by an enyemy cwaft, the bombwet wiww detonyate, achieving simiwaw effects to those of fwak weapons.",Point Defense,,
clusterbomb,WEAPON,"Weweases a cwustew of fwee-fwoating, high-expwosive bombwets. Mowe effective vewsus unshiewded and swow-moving tawgets.

A Cwustew Bomb pwojectow is equipped with thwee tubes designyed to fiwe dozens of Mawk II Expwosivewy Fowmed Penyetwatow bombwets. The bombwets awe unguided and have nyo pwopuwsion system, wewying on the inyitiaw momentum of the stwike cwaft to engage the tawget. They awe equipped with a fwiend-ow-foe tawgeting scannyew, and wiww onwy detonyate when impacting an appwopwiate tawget. The shaped chawge expwosive is highwy effective vewsus unshiewded tawgets. The sheew nyumbew of bombwets that can be depwoyed by this weapon system is staggewing, and as such it makes the Cwustew Bomb a usefuw awea denyiaw weapon.",Stwike,,
bomb,WEAPON,"A twied and tested weapon system, the bomb bay howds muwtipwe wawheads that wewy on the vewocity of the waunching cwaft to weach theiw tawget.

Each bomb bay is equipped with sevewaw nyon guided high-expwosive Comp-X bombs that can be weweased onye at a time. The bombs have nyo pwopuwsion system and awe dependent on the vewocity of the waunching cwaft to cawwy them to tawget (i.e., dive bombing).  Atmosphewic shiewding intwinsic to the design awso gives the bombs a high Time To Wive in an hostiwe Point-Defense enviwonment.",Stwike,,
lightneedler,WEAPON,"Fiwes buwsts of smaww fwechettes at a high wate of fiwe. The vowume of fiwe can quickwy ovewwhewm shiewd pwojectows, but is genyewawwy inyeffective against awmow.

A Wight Nyeedwew is a smaww-bowe fwechette gun, designyed to fiwe casewess ammunyition. Featuwes an impwessive feed system which can dewivew hundweds of ""nyeedwes"" pew second. Thewe is nyo nyeed fow an ejectow system, and the wesuwting space avaiwabiwity is instead used to pwovide additionyaw coowing unyits, vastwy enhancing the wate of fiwe. 

Domain Nyavaw doctwinye howds that the weapon is to be used on enyemy shiewds at wong-wange, but in a pinch, gunnyewy officews wiww twain theiw Nyeedwews on enyemy fightew wings and wong-wange missiwe thweats.",Cwose Suppowt,,
railgun,WEAPON,"A high-tech impwovement of the Autocannyon, the waiwgun fiwes accuwate, medium-wange swugs. Wike the AC, it excews at ovewwhewming enyemy shiewd genyewatows.

A minyiatuwized vewsion of the Gauss Cannyon, the waiwgun wewies on a stwong magnyetic fiewd to fiwe shewws at high vewocities. The accuwacy and wange awe excewwent, and the tuwwet is abwe to wotate quickwy whiwe nyot fiwing. 

The waiwgun is pwefewwed to the Autocannyon by gunnyewy officews that have ampwe fwux capacity at theiw disposaw.",Cwose Suppowt,,
shredder,WEAPON,"A wotatowy cannyon with genyewous enginyeewing specifications which pwovide fow gweat ease of opewation and wewiabiwity. Weapons officews acwoss the pwofessionyaw nyavies of the Sectow, meanwhiwe, cuwse the Thumpew fow wewawding poow maintenyance habits. 

Shweds enyemy missiwes and fightews with an ovewwhewming haiw of smaww paywoad, medium vewocity fwagmentation wounds. Awthough fwux-efficient, this weapon system has wittwe effect against awmow and shiewds.",Assauwt,,
